C:\Users\birke\HB_study\self_drive\udacity\data\IMG\center_2023_10_12_22_33_53_827.jpg,C:\Users\birke\HB_study\self_drive\udacity\data\IMG\left_2023_10_12_22_33_53_827.jpg,C:\Users\birke\HB_study\self_drive\udacity\data\IMG\right_2023_10_12_22_33_53_827.jpg,0,0,0,27.93696
C:\Users\birke\HB_study\self_drive\udacity\data\IMG\center_2023_10_12_22_33_53_892.jpg,C:\Users\birke\HB_study\self_drive\udacity\data\IMG\left_2023_10_12_22_33_53_892.jpg,C:\Users\birke\HB_study\self_drive\udacity\data\IMG\right_2023_10_12_22_33_53_892.jpg,0,0,0,27.71231
C:\Users\birke\HB_study\self_drive\udacity\data\IMG\center_2023_10_12_22_33_53_961.jpg,C:\Users\birke\HB_study\self_drive\udacity\data\IMG\left_2023_10_12_22_33_53_961.jpg,C:\Users\birke\HB_study\self_drive\udacity\data\IMG\right_2023_10_12_22_33_53_961.jpg,0,0,0,27.54502
C:\Users\birke\HB_study\self_drive\udacity\data\IMG\center_2023_10_12_22_33_54_030.jpg,C:\Users\birke\HB_study\self_drive\udacity\data\IMG\left_2023_10_12_22_33_54_030.jpg,C:\Users\birke\HB_study\self_drive\udacity\data\IMG\right_2023_10_12_22_33_54_030.jpg,0,0,0,27.32353
C:\Users\birke\HB_study\self_drive\udacity\data\IMG\center_2023_10_12_22_33_54_098.jpg,C:\Users\birke\HB_study\self_drive\udacity\data\IMG\left_2023_10_12_22_33_54_098.jpg,C:\Users\birke\HB_study\self_drive\udacity\data\IMG\right_2023_10_12_22_33_54_098.jpg,0,0,0,27.15858
C:\Users\birke\HB_study\self_drive\udacity\data\IMG\center_2023_10_12_22_33_54_165.jpg,C:\Users\birke\HB_study\self_drive\udacity\data\IMG\left_2023_10_12_22_33_54_165.jpg,C:\Users\birke\HB_study\self_drive\udacity\data\IMG\right_2023_10_12_22_33_54_165.jpg,-0.1,0,0,26.99152
C:\Users\birke\HB_study\self_drive\udacity\data\IMG\center_2023_10_12_22_33_54_233.jpg,C:\Users\birke\HB_study\self_drive\udacity\data\IMG\left_2023_10_12_22_33_54_233.jpg,C:\Users\birke\HB_study\self_drive\udacity\data\IMG\right_2023_10_12_22_33_54_233.jpg,-0.3,0,0,26.72575
C:\Users\birke\HB_study\self_drive\udacity\data\IMG\center_2023_10_12_22_33_54_301.jpg,C:\Users\birke\HB_study\self_drive\udacity\data\IMG\left_2023_10_12_22_33_54_301.jpg,C:\Users\birke\HB_study\self_drive\udacity\data\IMG\right_2023_10_12_22_33_54_301.jpg,-0.45,0,0,26.47642
C:\Users\birke\HB_study\self_drive\udacity\data\IMG\center_2023_10_12_22_33_54_368.jpg,C:\Users\birke\HB_study\self_drive\udacity\data\IMG\left_2023_10_12_22_33_54_368.jpg,C:\Users\birke\HB_study\self_drive\udacity\data\IMG\right_2023_10_12_22_33_54_368.jpg,0,0,0,26.11448
C:\Users\birke\HB_study\self_drive\udacity\data\IMG\center_2023_10_12_22_33_54_437.jpg,C:\Users\birke\HB_study\self_drive\udacity\data\IMG\left_2023_10_12_22_33_54_437.jpg,C:\Users\birke\HB_study\self_drive\udacity\data\IMG\right_2023_10_12_22_33_54_437.jpg,0,0,0,25.93387
